"지역별(시/군/구)","산업분류별","규모별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","C.제조업(10~34)","100~199인","무급가족 및 기타종사자[명]","명","5","5","0","4","65",
"대구광역시","C.제조업(10~34)","100~199인","상용근로자[명]","명","13920","12503","11622","11559","11279",
"대구광역시","C.제조업(10~34)","100~199인","임시 및 일용근로자[명]","명","115","252","85","172","237",
"대구광역시","C.제조업(10~34)","200~299인","자영업자[명]","명","0","0","0","1","1",
"대구광역시","C.제조업(10~34)","200~299인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","C.제조업(10~34)","200~299인","상용근로자[명]","명","5181","5645","5128","5578","7267",
"대구광역시","C.제조업(10~34)","200~299인","임시 및 일용근로자[명]","명","53","121","49","100","12",
"대구광역시","C.제조업(10~34)","300~499인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","C.제조업(10~34)","300~499인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","C.제조업(10~34)","300~499인","상용근로자[명]","명","4618","4318","4557","5546","5793",
"대구광역시","C.제조업(10~34)","300~499인","임시 및 일용근로자[명]","명","104","59","169","94","69",
"대구광역시","C.제조업(10~34)","500~999인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","C.제조업(10~34)","500~999인","무급가족 및 기타종사자[명]","명","59","0","0","0","0",
"대구광역시","C.제조업(10~34)","500~999인","상용근로자[명]","명","6261","6114","6244","5539","6225",
"대구광역시","C.제조업(10~34)","500~999인","임시 및 일용근로자[명]","명","133","41","2","94","0",
"대구광역시","C.제조업(10~34)","1000인이상","자영업자[명]","명","0","0","0","0","0",
"대구광역시","C.제조업(10~34)","1000인이상","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","C.제조업(10~34)","1000인이상","상용근로자[명]","명","1194","1195","1240","2297","1118",
"대구광역시","C.제조업(10~34)","1000인이상","임시 및 일용근로자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","전규모","자영업자[명]","명","2","2","3","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","전규모","무급가족 및 기타종사자[명]","명","1","1","0","4","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","전규모","상용근로자[명]","명","2546","2548","2900","2547","2648",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","전규모","임시 및 일용근로자[명]","명","76","24","16","47","28",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1~4인","자영업자[명]","명","2","1","3","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1~4인","무급가족 및 기타종사자[명]","명","1","1","0","1","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1~4인","상용근로자[명]","명","72","70","78","91","78",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1~4인","임시 및 일용근로자[명]","명","3","3","9","5","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","5~9인","자영업자[명]","명","0","1","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","5~9인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","5~9인","상용근로자[명]","명","41","17","43","34","37",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","5~9인","임시 및 일용근로자[명]","명","0","4","0","2","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","10~29인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","10~29인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","10~29인","상용근로자[명]","명","140","156","123","87","96",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","10~29인","임시 및 일용근로자[명]","명","13","0","0","15","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","30~49인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","30~49인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","30~49인","상용근로자[명]","명","68","25","49","32","38",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","30~49인","임시 및 일용근로자[명]","명","0","11","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","50~99인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","50~99인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","50~99인","상용근로자[명]","명","511","544","388","480","427",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","50~99인","임시 및 일용근로자[명]","명","0","0","1","3","26",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","100~199인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","100~199인","무급가족 및 기타종사자[명]","명","0","0","0","3","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","100~199인","상용근로자[명]","명","304","282","403","535","642",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","100~199인","임시 및 일용근로자[명]","명","0","4","3","3","2",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","200~299인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","200~299인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","200~299인","상용근로자[명]","명","434","455","207","269","260",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","200~299인","임시 및 일용근로자[명]","명","23","0","0","5","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","300~499인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","300~499인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","300~499인","상용근로자[명]","명","0","0","329","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","300~499인","임시 및 일용근로자[명]","명","0","0","3","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","500~999인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","500~999인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","500~999인","상용근로자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","500~999인","임시 및 일용근로자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1000인이상","자영업자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1000인이상","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1000인이상","상용근로자[명]","명","976","999","1280","1019","1070",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1000인이상","임시 및 일용근로자[명]","명","37","2","0","14","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전규모","자영업자[명]","명","75","76","72","65","69",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전규모","무급가족 및 기타종사자[명]","명","8","6","23","25","21",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전규모","상용근로자[명]","명","2770","3003","2932","2991","3166",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전규모","임시 및 일용근로자[명]","명","82","102","202","146","183",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1~4인","자영업자[명]","명","49","51","42","37","44",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1~4인","무급가족 및 기타종사자[명]","명","8","5","2","4","3",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1~4인","상용근로자[명]","명","282","299","298","316","383",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1~4인","임시 및 일용근로자[명]","명","20","10","16","19","33",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","5~9인","자영업자[명]","명","17","17","22","21","15",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","5~9인","무급가족 및 기타종사자[명]","명","0","1","0","1","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","5~9인","상용근로자[명]","명","386","448","389","412","291",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","5~9인","임시 및 일용근로자[명]","명","9","9","43","33","14",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","10~29인","자영업자[명]","명","9","8","6","6","8",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","10~29인","무급가족 및 기타종사자[명]","명","0","0","21","20","18",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","10~29인","상용근로자[명]","명","1046","1014","998","917","1129",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","10~29인","임시 및 일용근로자[명]","명","24","39","34","33","9",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~49인","자영업자[명]","명","0","0","2","1","2",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~49인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~49인","상용근로자[명]","명","270","280","179","168","313",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~49인","임시 및 일용근로자[명]","명","6","12","2","11","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~99인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~99인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~99인","상용근로자[명]","명","607","671","715","723","685",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~99인","임시 및 일용근로자[명]","명","17","30","38","29","120",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","100~199인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","100~199인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","100~199인","상용근로자[명]","명","179","291","121","266","104",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","100~199인","임시 및 일용근로자[명]","명","6","2","4","6","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","200~299인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","200~299인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","200~299인","상용근로자[명]","명","0","0","232","189","261",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","200~299인","임시 및 일용근로자[명]","명","0","0","65","15","7",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","300~499인","자영업자[명]","명","0","0","0","0","0",
