기업 이름,이동 링크,총 만족도,평균 임금
브이엠웨어코리아(유),/companies/311177/info/%EB%B8%8C%EC%9D%B4%EC%97%A0%EC%9B%A8%EC%96%B4%EC%BD%94%EB%A6%AC%EC%95%84?,3.8,"7,069"
(주)코어라인소프트,/companies/325337/info/%EC%BD%94%EC%96%B4%EB%9D%BC%EC%9D%B8%EC%86%8C%ED%94%84%ED%8A%B8?,3.8,"5,311"
(주)쿠팡페이,/companies/372355/info/%EC%BF%A0%ED%8C%A1%ED%8E%98%EC%9D%B4?,3.8,"6,023"
(주)모노커뮤니케이션즈,/companies/77300/info/%EB%AA%A8%EB%85%B8%EC%BB%A4%EB%AE%A4%EB%8B%88%EC%BC%80%EC%9D%B4%EC%85%98%EC%A6%88?,3.8,"4,308"
(주)무른모,/companies/312827/info/%EB%AC%B4%EB%A5%B8%EB%AA%A8?,3.8,"3,432"
(주)오픈서베이,/companies/68173/info/%EC%98%A4%ED%94%88%EC%84%9C%EB%B2%A0%EC%9D%B4?,3.8,"5,365"
라인플러스(주),/companies/89255/info/%EB%9D%BC%EC%9D%B8%ED%94%8C%EB%9F%AC%EC%8A%A4?,3.8,"6,493"
(주)넥슨코리아,/companies/83498/info/%EB%84%A5%EC%8A%A8%EC%BD%94%EB%A6%AC%EC%95%84?,3.8,"5,895"
(주)라바웨이브,/companies/357119/info/%EB%9D%BC%EB%B0%94%EC%9B%A8%EC%9D%B4%EB%B8%8C?,3.8,"3,917"
(주)생활연구소,/companies/339292/info/%EC%83%9D%ED%99%9C%EC%97%B0%EA%B5%AC%EC%86%8C?,3.8,"4,243"
(주)스매치코퍼레이션,/companies/386874/info/%EC%8A%A4%EB%A7%A4%EC%B9%98%EC%BD%94%ED%8D%BC%EB%A0%88%EC%9D%B4%EC%85%98?,3.8,"4,467"
(주)엑스티,/companies/347183/info/%EC%97%91%EC%8A%A4%ED%8B%B0?,3.8,"3,612"
(주)우아한형제들,/companies/61420/info/%EC%9A%B0%EC%95%84%ED%95%9C%ED%98%95%EC%A0%9C%EB%93%A4?,3.8,"5,843"
블루코어(주),/companies/74963/info/%EB%B8%94%EB%A3%A8%EC%BD%94%EC%96%B4?,3.8,"3,496"
위시켓(주),/companies/92038/info/%EC%9C%84%EC%8B%9C%EC%BC%93?,3.8,"3,793"
코이웨어(주),/companies/308709/info/%EC%BD%94%EC%9D%B4%EC%9B%A8%EC%96%B4?,3.8,"4,336"
버드뷰(주),/companies/317596/info/%EB%B2%84%EB%93%9C%EB%B7%B0?,3.7,"5,390"
(주)브이씨에이테크놀로지,/companies/60182/info/%EB%B8%8C%EC%9D%B4%EC%94%A8%EC%97%90%EC%9D%B4%ED%85%8C%ED%81%AC%EB%86%80%EB%A1%9C%EC%A7%80?,3.7,"4,877"
(주)코스콤,/companies/52769/info/%EC%BD%94%EC%8A%A4%EC%BD%A4?,3.7,"7,902"
