"시도별(17개)","산업분류별","규모별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","자동차용 엔진 및 자동차 제조업","50~99인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","50~99인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","50~99인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","100~199인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","100~199인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","100~199인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","100~199인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","200~299인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","200~299인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","200~299인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","200~299인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","300~499인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","300~499인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","300~499인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","300~499인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","500~999인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","500~999인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","500~999인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","자동차용 엔진 및 자동차 제조업","500~999인","총종사자수_여자[명]","명","0","0","0","0","0",
