count,date,title,description,org_link,link
613,2024-08-13 10:22:00,무더위 속 12일 전력 총수요 102GW…사상 최대치 경신,"제11차 전력수급기본계획(전기본) 총괄위원회는 지난 5월 11차 전기본 초안을 공개하면서 <b>인공지능</b>(AI) 확산, 반도체 클러스터 조성 등으로 2038년까지 16.7GW의 전력수요 추가요인이 있을 것으로 추정했다.",http://www.seouleconews.com/news/articleView.html?idxno=78946,http://www.seouleconews.com/news/articleView.html?idxno=78946
614,2024-08-13 10:22:00,"LG유플러스, 광복절 맞아 '익시 포토부스' 무료 운영",LG유플러스 모델들이 LG유플러스 도화동 공덕역점에서 광복절 콘셉트 <b>인공지능</b>(AI) 프로필 사진을 제작해주는 '익시 포토부스'를 체험하고 있다. 사진=LG유플러스  LG유플러스가 광복절을 맞아 서울 마포구에 위치한... ,https://weekly.hankooki.com/news/articleView.html?idxno=7093691,https://weekly.hankooki.com/news/articleView.html?idxno=7093691
615,2024-08-13 10:22:00,"하나은행-KAIST, AI 상업용 부동산 시장예측 모델 개발","금리, 물가 등 차별화된 정보 제공 [시장경제=정우교 기자] 사진=하나은행 하나은행은 <b>인공지능</b>(AI)을 기반으로 한 상업용 부동산 시장예측 모델인 '하나AI CRP' 서비스를 개발했다고 13일 밝혔다. 하나AI CRP 서비스는... ",https://www.meconomynews.com/news/articleView.html?idxno=98692,https://www.meconomynews.com/news/articleView.html?idxno=98692
616,2024-08-13 10:22:00,"NH투자증권, 빅데이터 경진대회 'AI로 미국 ETF를 발견하다' 개최","국내외 대학(원)생을 대상으로 창의적인 아이디어 발굴 및 디지털·<b>인공지능</b>(AI) 인재 조기 확보를 위해 개최했다. NH투자자증권 빅데이터 경진대회는 국내외 대학생과 대학원생이면 누구나 참여 가능하며, 오는 9월... ",https://www.enetnews.co.kr/news/articleView.html?idxno=28047,https://www.enetnews.co.kr/news/articleView.html?idxno=28047
617,2024-08-13 10:22:00,"대전시교육청, 학생 국외과학연구단지 체험프로그램 실시","또한, 실리콘밸리의 Start Up 개척 사례로 PathoBrainSeq의 맞춤형 의약품 개발 현황을, ImpriMed의 항암제 약물 서비스의 <b>인공지능</b> 모델 적용 현황을 알아보고 캘리포니아사이언스센터, 자연사박물관 견학 등... ",http://www.shinailbo.co.kr/news/articleView.html?idxno=1916687,http://www.shinailbo.co.kr/news/articleView.html?idxno=1916687
618,2024-08-13 10:21:00,&quot;하반기 거시경제 불확실성 개선되며 M&amp;A 시장 점진적으로 회복할 것&quot;,기업에는 인수자금을 마련하기 위해 비핵심자산을 매각하고 <b>인공지능</b>(AI)을 중심으로 한 신기술에 투자하려는 수요가 늘고 있다. 보고서는 &quot;풍부한 현금을 보유한 기업이 매출 성장을 가속화하고 혁신을 가능케 하는... ,http://www.joseilbo.com/news/news_read.php?uid=523340&class=10&grp=,https://n.news.naver.com/mnews/article/123/0002340258?sid=101
619,2024-08-13 10:21:00,"[에듀플러스]서강대 교수학습센터, K-MOOC 지역사회협력 프로그램 개최",이번 프로그램은 서울시 서부교육지원청 및 숭문고와 협약을 통해 반도체 및 <b>인공지능</b>(AI) 인재 양성을 위한 지역사회협력 프로그램이다. 류성주 교수가 '아두이노를 활용한 전자공학설계 입문'을 주제로 총 9개의... ,https://www.etnews.com/20240813000079,https://n.news.naver.com/mnews/article/030/0003231212?sid=102
620,2024-08-13 10:20:00,에이블리 남성 패션 앱 ‘4910’ 7월 거래액 2배 성장,사구일공(4910)은 '<b>인공지능</b>(AI) 개인화 추천 기술' 기반 남성 전문 스타일 커머스다. 10세부터 49세까지 폭넓은 남성 패션 취향을 반영한다라는 의미와 합리적인 가격으로 다양한 상품을 사고 싶은(4910) 플랫폼이라는... ,https://www.fashionbiz.co.kr/article/209715,https://www.fashionbiz.co.kr/article/209715
621,2024-08-13 10:20:00,"삼성전자, &quot;트렉 최신 자전거타고 갤럭시워치 체험하세요&quot;",또 사이클에 특화된 갤럭시 워치 울트라의 다양한 <b>인공지능</b>(AI) 운동 코칭 기능을 체험할 수 있다. 이번 행사는 전국 18개 트렉 바이시클 직영점에서 별도 예약 없이 참여 가능하다. 챌린지 참여 후 SNS에 참여 후기를... ,https://weekly.hankooki.com/news/articleView.html?idxno=7093688,https://weekly.hankooki.com/news/articleView.html?idxno=7093688
622,2024-08-13 10:20:00,"금천문화재단, 제4회 금천패션영화제 본선 진출작 40편 발표","정다희 감독의 '구독남녀'는 <b>인공지능</b>(AI)을 활용해 제작한 작품으로, <b>인공지능</b>과 패션의 연결 가능성을 제시한다. 대중적으로 친숙한 중견 배우 백일섭, 김금순, 정희태 배우 등이 출연한 작품들도 본선 진출작으로... ",http://www.m-i.kr/news/articleView.html?idxno=1149472,http://www.m-i.kr/news/articleView.html?idxno=1149472
623,2024-08-13 10:20:00,"미래에셋증권, '마스터스 아카데미' 출범",이번 행사에서는 '마스터스 아카데미' 출범을 기념하여 한국<b>인공지능</b>협회 권영우 부회장의 'ChatGPT를 활용한 기업 경영계획 수립 및 산업 분석'을 주제로 세미나를 실시한다. 또한 2023년 2월부터 진행된 '금융&amp;아트... ,https://www.smarttoday.co.kr/news/articleView.html?idxno=57276,https://www.smarttoday.co.kr/news/articleView.html?idxno=57276
624,2024-08-13 10:19:00,"직스테크놀로지, '미래인재 양성' 가천대에 직스캐드 기부",<b>인공지능</b>(AI) 디지털 설계 플랫폼 기업 직스테크놀로지가 지난 12일 미래인재 양성 지원을 위해 가천대에 9억원 상당의 직스캐드(ZYXCAD)를 기부했다. 직스테크놀로지는 기부 협약에 따라 반도체대학 소속 학생뿐 아니라... ,https://www.etnews.com/20240813000075,https://n.news.naver.com/mnews/article/030/0003231208?sid=105
625,2024-08-13 10:18:00,"하나은행, AI 기반 상업용 부동산 예측 모델 '하나AI CRP' 개발",하나은행(은행장 이승열)은 <b>인공지능</b>(AI)을 기반으로 한 상업용 부동산 시장예측 모델인 '하나AI CRP' 서비스를 개발했다고 13일 밝혔다. '하나AI CRP' 서비스는 꾸준히 증가하고 있는 상업용 부동산 투자 상담 시... ,https://www.newspim.com/news/view/20240813000230,https://www.newspim.com/news/view/20240813000230
626,2024-08-13 10:18:00,"유진투자증권-모트에이아이, 증권업 AI 전환 차원 MOU 체결",유진투자증권과 모트에이아이가 증권업 <b>인공지능</b>(AI) 전환을 위한 업무협약(MOU)을 체결했다고 13일 밝혔다. 이번 업무협약은 기존 증권업 시스템과 프로세스에 최적화된 AI 모델 개발을 위한 것이다. 따라서 양사는... ,https://www.financialpost.co.kr/news/articleView.html?idxno=211007,https://www.financialpost.co.kr/news/articleView.html?idxno=211007
627,2024-08-13 10:18:00,중동 긴장·美 CPI 경계감에 코스피 2610선 약보합 [오전 시황],<b>인공지능</b>(AI) 반도체 대표 종목인 엔비디아가 4.08% 오르면서 기술주에 대한 투자 심리는 일부 개선됐다. 국내 증시는 중동 긴장과 미국 물가지표 발표를 앞두고 약세다. 오는 14일 미국 7월... ,https://www.sedaily.com/NewsView/2DD01NLDJT,https://n.news.naver.com/mnews/article/011/0004379572?sid=101
628,2024-08-13 10:18:00,"에이블리 남성 패션앱 4910, 누적 다운로드 수 100만 돌파",4910은 '<b>인공지능</b>(AI) 개인화 추천 기술' 기반 남성 전문 스타일 커머스다. '10세부터 49세까지 폭넓은 남성 패션 취향을 반영한다'라는 의미와 합리적인 가격으로 다양한 상품을 '사고 싶은(4910) 플랫폼'이라는 뜻을... ,https://www.ebn.co.kr/news/view/1633280/?sc=Naver,https://www.ebn.co.kr/news/view/1633280/?sc=Naver
